Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Broward County, FL",12011,21928,30.35,38.31,38.4,3197.63,26.43,10.38
2018-01-01,"Charlotte County, FL",12015,1040,28.04,38.32,38.48,3213.5,27.61,9.35
2018-01-01,"Escambia County, FL",12033,3733,27.59,38.22,38.48,3220.72,27.7,10.48
2018-01-01,"Whitfield County, GA",13313,1300,27.32,38.41,38.73,3281.02,28.93,12.17
2018-01-01,"St. Lucie County, FL",12111,3123,28.6,38.38,38.56,3237.11,27.47,10.15
2018-01-01,"Lee County, FL",12071,6793,28.57,38.37,38.56,3254.16,27.25,10.09
2018-01-01,"Baldwin County, AL",01003,2290,28.01,38.23,38.39,3258.78,27.28,11.41
2018-01-01,"Pasco County, FL",12101,5084,28.62,38.44,38.64,3275.23,27.09,10.88
2018-01-01,"Clarke County, GA",13059,1351,28.68,38.29,38.47,3180.32,27.73,10.01
2018-01-01,"Indian River County, FL",12061,1294,28.79,38.44,38.72,3272.38,27.53,12.65
2018-01-01,"Leon County, FL",12073,2915,28.73,38.4,38.55,3215.33,27.49,11.28
2018-01-01,"Tuscaloosa County, AL",01125,2406,27.43,38.23,38.38,3193.12,28.09,9.79
2018-01-01,"DeKalb County, GA",13089,10785,29.56,38.43,38.38,3177.76,26.61,10.65
2018-01-01,"Unidentified Counties, GA",13999,41000,26.97,38.17,38.38,3197.04,28.46,11.24
2018-01-01,"Santa Rosa County, FL",12113,1953,28.6,38.33,38.63,3295.36,26.44,11.53
2018-01-01,"Brevard County, FL",12009,5309,28.86,38.39,38.63,3270.87,26.87,10.43
2018-01-01,"Marion County, FL",12083,3476,27.38,38.43,38.63,3236.22,27.69,10.27
2018-01-01,"Shelby County, AL",01117,2250,29.45,38.46,38.46,3284.24,27.38,10.42
2018-01-01,"Duval County, FL",12031,12973,28.45,38.26,38.46,3195.52,27.54,9.84
2018-01-01,"Montgomery County, AL",01101,3139,27.48,37.9,38.04,3083.55,28.68,10.06
2018-01-01,"Forsyth County, GA",13117,2306,31.08,38.41,38.54,3285.43,26.1,12.66
2018-01-01,"Richmond County, GA",13245,2918,27.22,38.19,38.54,3127.8,27.73,10.32
2018-01-01,"Unidentified Counties, FL",12999,12991,27.31,38.34,38.54,3246.71,27.91,10.37
2018-01-01,"Etowah County, AL",01055,1191,26.51,38.22,38.37,3190.27,28.85,9.62
2018-01-01,"Houston County, AL",01069,1368,27.04,38.29,38.37,3206.84,29.33,11.29
2018-01-01,"Jefferson County, AL",01073,8437,28.44,38.24,38.2,3161.29,27.67,10.27
2018-01-01,"Palm Beach County, FL",12099,15066,30.06,38.41,38.45,3227.61,26.49,10.93
2018-01-01,"Clay County, FL",12019,2182,28.37,38.3,38.45,3252.32,27.52,10.66
2018-01-01,"Martin County, FL",12085,1251,29.61,38.53,38.7,3287.78,26.18,11.64
2018-01-01,"Columbia County, GA",13073,1817,29.54,38.49,38.95,3322.1,27.06,11.06
2018-01-01,"Unidentified Counties, AL",01999,22362,26.66,38.17,38.28,3198.29,28.47,10.53
2018-01-01,"Bartow County, GA",13015,1173,27.39,38.38,38.78,3284.58,28.54,12.26
2018-01-01,"Sarasota County, FL",12115,2878,29.3,38.6,38.78,3308.35,26.04,11.61
2018-01-01,"Madison County, AL",01089,4262,28.65,38.02,38.11,3180.03,27.65,9.8
2018-01-01,"Polk County, FL",12105,7847,27.65,38.39,38.61,3256.08,28.09,10.65
2018-01-01,"Paulding County, GA",13223,1763,28.73,38.35,38.61,3298.26,28.02,13.25
2018-01-01,"Orange County, FL",12095,16919,29.65,38.34,38.44,3232.26,26.61,9.27
2018-01-01,"Pinellas County, FL",12103,8126,29.36,38.51,38.69,3279.11,26.44,11.14
2018-01-01,"Mobile County, AL",01097,5549,27.25,37.95,38.02,3129.31,28.05,10.87
2018-01-01,"Douglas County, GA",13097,1700,28.58,38.15,38.27,3157.22,28.31,12.02
2018-01-01,"Hall County, GA",13139,2496,27.87,38.46,38.52,3317.75,27.25,12.36
2018-01-01,"Lowndes County, GA",13185,1656,27.2,38.03,38.35,3159.95,28.62,12.12
2018-01-01,"Morgan County, AL",01103,1432,26.91,38.14,38.18,3205.34,28.04,10.65
2018-01-01,"Chatham County, GA",13051,3557,28.56,38.15,38.43,3182.22,28.38,9.8
2018-01-01,"Volusia County, FL",12127,4863,28.21,38.44,38.68,3264.54,27.05,11.19
2018-01-01,"St. Johns County, FL",12109,2242,30.81,38.57,38.93,3333.85,25.95,11.58
2018-01-01,"Houston County, GA",13153,1967,27.65,38.23,38.51,3226.07,28.15,10.91
2018-01-01,"Collier County, FL",12021,3199,29.43,38.37,38.51,3282.32,26.92,10.53
2018-01-01,"Cobb County, GA",13067,8927,30.23,38.39,38.59,3241.79,26.67,12.73
2018-01-01,"Bay County, FL",12005,2187,27.7,38.38,38.59,3285.23,27.52,10.14
2018-01-01,"Fayette County, GA",13113,867,30.32,38.25,38.17,3233.16,26.56,12.01
2018-01-01,"Clayton County, GA",13063,3773,27.77,38.2,38.42,3117.13,28.55,9.55
2018-01-01,"Seminole County, FL",12117,4663,29.95,38.47,38.67,3289.91,26.78,9.91
